shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence
7SH,19.64955256904037,-99.1963801429779,176
7SH,19.67365447333876,-99.20042472850271,177
7SH,19.680298071033782,-99.20146257097367,178
7SH,19.68174061559642,-99.201701794535,179
7SH,19.68279215491654,-99.20187238741623,180
7SH,19.685358489980985,-99.19877028457039,181
7SH,19.688333839609825,-99.1886634689707,182
7SH,19.689652900000002,-99.1871582,183
8SH,19.40216653776675,-99.18820496571756,184
8SH,19.40225723614503,-99.18780154176055,185
8SH,19.40361198735686,-99.19372934838532,186
8SH,19.403302552282025,-99.19639697729767,187
8SH,19.40213290665324,-99.20042914784649,188
8SH,19.40118822860654,-99.205586108373,189
8SH,19.40107310359614,-99.20646463291352,190
8SH,19.40068518119761,-99.20926407233931,191
8SH,19.400526296756755,-99.21007673362182,192
8SH,19.39674744258465,-99.22116740827792,193
8SH,19.39365428216644,-99.23594473369837,194
8SH,19.39201764688833,-99.23910049081503,195
8SH,19.387320476313366,-99.24491524681136,196
8SH,19.386020697401552,-99.24767133527372,197
8SH,19.382408971991836,-99.25265483193039,198
8SH,19.379930009656,-99.25672460822238,199
8SH,19.37330524483693,-99.26987047241515,200
8SH,19.3651354755497,-99.27459854257093,201
8SH,19.364084338788345,-99.27939330927771,202
8SH,19.361412704205296,-99.28836084349425,203
8SH,19.357711589609846,-99.2906438790903,204
8SH,19.356705380561728,-99.29125480656616,205
8SH,19.354667303692494,-99.29392399010341,206
8SH,19.356105253296583,-99.2967300413548,207
8SH,19.356812242529177,-99.29892304124746,208
8SH,19.356528191845257,-99.30039589997442,209
8SH,19.356469384533934,-99.30042015386812,210
8SH,19.356155015948445,-99.30056091939119,211
8SH,19.35624076836851,-99.30156125138573,212
8SH,19.35462970229907,-99.30374054241942,213
8SH,19.35423935417629,-99.30600513500679,214
8SH,19.354091562861488,-99.30636061458549,215
8SH,19.354002585900023,-99.30698774477887,216
8SH,19.353956942036763,-99.30773592045855,217
8SH,19.35388633278056,-99.30826381165879,218
8SH,19.353866335298036,-99.30841517506119,219
8SH,19.35327642444886,-99.31059639346522,220
8SH,19.349708368271536,-99.31513961574436,221
8SH,19.34587120527172,-99.31828185284954,222
8SH,19.352125139618977,-99.3183126361585,223
8SH,19.353858023336993,-99.32054441605855,224
8SH,19.354593852963536,-99.32141354685957,225
8SH,19.3553906899309,-99.32322217058902,226
8SH,19.35316372798224,-99.32741503506125,227
8SH,19.3556942,-99.33150540000001,228
8SH,19.356978141959058,-99.33024924409592,229
8SH,19.35731219120115,-99.3297968294298,230
8SH,19.357947969176937,-99.32893951246803,231
8SH,19.35806495164145,-99.32878040441638,232
8SH,19.359270123062466,-99.3270645622593,233
8SH,19.36046991776422,-99.32885085442696,234
8SH,19.360237542984443,-99.33007568023997,235
8SH,19.35642815386768,-99.33739271850041,236
8SH,19.358175279720516,-99.33969189000628,237
8SH,19.358224071351902,-99.34019251799151,238
8SH,19.35824298975412,-99.34180681450522,239
8SH,19.358890449243233,-99.3439822356692,240
8SH,19.35983736927245,-99.3456023219029,241
8SH,19.361068075028324,-99.34864623064628,242
8SH,19.36082955239888,-99.34935770017711,243
9SH,19.360688737092843,-99.17125412736125,244
9SH,19.360389269603154,-99.17129522699071,245
9SH,19.358732390728374,-99.17035374277509,246
9SH,19.35755333175446,-99.17004563106453,247
9SH,19.35266208594538,-99.16561766123367,248
9SH,19.352116006489155,-99.16512312076135,249
9SH,19.351232686096598,-99.1643180719392,250
9SH,19.351100448909943,-99.16419757048762,251
9SH,19.350254439390895,-99.16401803101661,252
9SH,19.348343720339614,-99.16448314346522,253
9SH,19.34771436436586,-99.16462392789764,254
9SH,19.3459600050239,-99.16488899575234,255
9SH,19.34577976662393,-99.16492355226066,256
9SH,19.34436748524504,-99.16249987656387,257
9SH,19.344241767901458,-99.16132534891601,258
9SH,19.344089231945265,-99.16001482728818,259
9SH,19.343787237263843,-99.15746041873578,260
9SH,19.34050762355691,-99.15310087707057,261
9SH,19.33813666233078,-99.15073681019489,262
9SH,19.335758696486586,-99.1484897001669,263
9SH,19.332487350709908,-99.145367506805,264
9SH,19.33150214529102,-99.14456680498368,265
9SH,19.330416889460707,-99.14370395251746,266
9SH,19.319203247606886,-99.13851813570669,267
9SH,19.318254040975155,-99.13881352130078,268
